stkcd,stock,name,year,is_crawled
430152,思创银联,北京思创银联科技股份有限公司,2015,0.0
430152,思创银联,北京思创银联科技股份有限公司,2016,0.0
430154,中科通达,中科通达,2013,0.0
430154,中科通达,中科通达,2014,0.0
430154,中科通达,中科通达,2015,0.0
430156,科曼股份,上海科曼车辆部件系统股份有限公司,2014,0.0
430156,科曼股份,上海科曼车辆部件系统股份有限公司,2015,1.0
430156,科曼股份,上海科曼车辆部件系统股份有限公司,2016,1.0
430157,腾龙电子,腾龙电子技术(上海)股份有限公司,2013,0.0
430157,腾龙电子,腾龙电子技术(上海)股份有限公司,2014,0.0
430157,腾龙电子,腾龙电子技术(上海)股份有限公司,2015,0.0
430159,创世生态,天津创世生态景观建设股份有限公司,2013,0.0
430159,创世生态,天津创世生态景观建设股份有限公司,2014,0.0
430159,创世生态,天津创世生态景观建设股份有限公司,2015,0.0
430159,创世生态,天津创世生态景观建设股份有限公司,2016,0.0
430161,光谷信息,武汉光谷信息技术股份有限公司,2014,0.0
430161,光谷信息,武汉光谷信息技术股份有限公司,2015,0.0
430161,光谷信息,武汉光谷信息技术股份有限公司,2016,0.0
430162,聚利科技,聚利科技,2014,0.0
430162,聚利科技,聚利科技,2015,0.0
430162,聚利科技,聚利科技,2016,0.0
430163,三众能源,北京合创三众能源科技股份有限公司,2014,0.0
430163,三众能源,北京合创三众能源科技股份有限公司,2015,1.0
430163,三众能源,北京合创三众能源科技股份有限公司,2016,0.0
430164,大医股份,大医科技股份有限公司,2014,0.0
430164,大医股份,大医科技股份有限公司,2015,0.0
430164,大医股份,大医科技股份有限公司,2016,0.0
430165,光宝联合,光宝联合(北京)科技股份有限公司,2014,0.0
430165,光宝联合,光宝联合(北京)科技股份有限公司,2015,0.0
430165,光宝联合,光宝联合(北京)科技股份有限公司,2016,0.0
430167,四利通,北京四利通控制技术股份有限公司,2014,0.0
430167,四利通,北京四利通控制技术股份有限公司,2015,0.0
430167,四利通,北京四利通控制技术股份有限公司,2016,1.0
430168,博维仕,北京博维仕科技股份有限公司,2014,0.0
430168,博维仕,北京博维仕科技股份有限公司,2015,0.0
430168,博维仕,北京博维仕科技股份有限公司,2016,0.0
430169,融智通,融智通科技(北京)股份有限公司,2012,0.0
430169,融智通,融智通科技(北京)股份有限公司,2013,0.0
430169,融智通,融智通科技(北京)股份有限公司,2014,0.0
430169,融智通,融智通科技(北京)股份有限公司,2015,0.0
430169,融智通,融智通科技(北京)股份有限公司,2016,0.0
430170,金易通,金易通科技(北京)股份有限公司,2012,0.0
430170,金易通,金易通科技(北京)股份有限公司,2013,0.0
430170,金易通,金易通科技(北京)股份有限公司,2014,0.0
430170,金易通,金易通科技(北京)股份有限公司,2015,0.0
430171,电信易通,北京电信易通信息技术股份有限公司,2014,0.0
430171,电信易通,北京电信易通信息技术股份有限公司,2015,1.0
430171,电信易通,北京电信易通信息技术股份有限公司,2016,0.0
430173,欧美城,欧美城文化(北京)股份有限公司,2015,0.0
430174,沃捷传媒,北京沃捷文化传媒股份有限公司,2012,0.0
430174,沃捷传媒,北京沃捷文化传媒股份有限公司,2013,0.0
430174,沃捷传媒,北京沃捷文化传媒股份有限公司,2014,1.0
430174,沃捷传媒,北京沃捷文化传媒股份有限公司,2015,0.0
430174,沃捷传媒,北京沃捷文化传媒股份有限公司,2016,0.0
430175,科新生物,上海科新生物技术股份有限公司,2013,0.0
430175,科新生物,上海科新生物技术股份有限公司,2014,0.0
430175,科新生物,上海科新生物技术股份有限公司,2015,0.0
430175,科新生物,上海科新生物技术股份有限公司,2016,0.0
430176,中教股份,北京中教启星科技股份有限公司,2012,0.0
430176,中教股份,北京中教启星科技股份有限公司,2013,0.0
430176,中教股份,北京中教启星科技股份有限公司,2014,0.0
430176,中教股份,北京中教启星科技股份有限公司,2015,0.0
430176,中教股份,北京中教启星科技股份有限公司,2016,0.0
430177,点点客,点点客信息技术股份有限公司,2013,0.0
430177,点点客,点点客信息技术股份有限公司,2014,0.0
430177,点点客,点点客信息技术股份有限公司,2015,0.0
430177,点点客,点点客信息技术股份有限公司,2016,0.0
430178,白虹软件,上海白虹软件科技股份有限公司,2014,0.0
430178,白虹软件,上海白虹软件科技股份有限公司,2015,1.0
430178,白虹软件,上海白虹软件科技股份有限公司,2016,0.0
430179,宇昂科技,上海宇昂水性新材料科技股份有限公司,2012,0.0
430179,宇昂科技,上海宇昂水性新材料科技股份有限公司,2013,0.0
430179,宇昂科技,上海宇昂水性新材料科技股份有限公司,2014,0.0
430179,宇昂科技,上海宇昂水性新材料科技股份有限公司,2015,0.0
430179,宇昂科技,上海宇昂水性新材料科技股份有限公司,2016,0.0
430180,东方瑞威,北京东方瑞威科技发展股份有限公司,2014,0.0
430180,东方瑞威,北京东方瑞威科技发展股份有限公司,2015,0.0
430180,东方瑞威,北京东方瑞威科技发展股份有限公司,2016,0.0
430181,盖娅互娱,北京盖娅互娱网络科技股份有限公司,2014,0.0
430181,盖娅互娱,北京盖娅互娱网络科技股份有限公司,2015,0.0
430181,盖娅互娱,北京盖娅互娱网络科技股份有限公司,2016,0.0
430182,全网数商,北京全网数商科技股份有限公司,2012,0.0
430182,全网数商,北京全网数商科技股份有限公司,2013,0.0
430182,全网数商,北京全网数商科技股份有限公司,2014,0.0
430182,全网数商,北京全网数商科技股份有限公司,2015,0.0
430182,全网数商,北京全网数商科技股份有限公司,2016,0.0
430183,天友设计,天津市天友建筑设计股份有限公司,2014,0.0
430183,天友设计,天津市天友建筑设计股份有限公司,2015,0.0
430183,天友设计,天津市天友建筑设计股份有限公司,2016,1.0
430184,北方跃龙,北方跃龙科技(北京)股份有限公司,2012,0.0
430184,北方跃龙,北方跃龙科技(北京)股份有限公司,2013,0.0
430184,北方跃龙,北方跃龙科技(北京)股份有限公司,2014,1.0
430184,北方跃龙,北方跃龙科技(北京)股份有限公司,2015,0.0
430184,北方跃龙,北方跃龙科技(北京)股份有限公司,2016,0.0
430185,普瑞物联,北京普瑞塞特物联科技股份有限公司,2013,0.0
430185,普瑞物联,北京普瑞塞特物联科技股份有限公司,2014,0.0
430185,普瑞物联,北京普瑞塞特物联科技股份有限公司,2015,0.0
430186,国承瑞泰,北京国承瑞泰科技股份有限公司,2013,0.0
430186,国承瑞泰,北京国承瑞泰科技股份有限公司,2014,0.0
430186,国承瑞泰,北京国承瑞泰科技股份有限公司,2015,0.0
430189,摩点文娱,北京摩点文娱科技股份有限公司,2015,0.0
430190,新瑞理想,北京新瑞理想软件股份有限公司,2015,0.0
430191,波尔通信,北京波尔通信技术股份有限公司,2014,0.0
430191,波尔通信,北京波尔通信技术股份有限公司,2015,1.0
430191,波尔通信,北京波尔通信技术股份有限公司,2016,0.0
430192,东展科博,北京东展科博科技股份有限公司,2012,0.0
430192,东展科博,北京东展科博科技股份有限公司,2013,0.0
430192,东展科博,北京东展科博科技股份有限公司,2014,0.0
430192,东展科博,北京东展科博科技股份有限公司,2015,0.0
430193,微传播,微传播(北京)网络科技股份有限公司,2014,0.0
430193,微传播,微传播(北京)网络科技股份有限公司,2015,0.0
430193,微传播,微传播(北京)网络科技股份有限公司,2016,1.0
430194,锐风行,北京锐风行艺术交流股份有限公司,2012,0.0
430194,锐风行,北京锐风行艺术交流股份有限公司,2013,0.0
430194,锐风行,北京锐风行艺术交流股份有限公司,2014,0.0
430194,锐风行,北京锐风行艺术交流股份有限公司,2015,0.0
430194,锐风行,北京锐风行艺术交流股份有限公司,2016,1.0
430196,宣爱智能,北京宣爱智能模拟技术股份有限公司,2012,0.0
430196,宣爱智能,北京宣爱智能模拟技术股份有限公司,2013,0.0
430196,宣爱智能,北京宣爱智能模拟技术股份有限公司,2014,0.0
430196,宣爱智能,北京宣爱智能模拟技术股份有限公司,2015,0.0
430196,宣爱智能,北京宣爱智能模拟技术股份有限公司,2016,0.0
430197,津伦股份,津伦(天津)精密机械股份有限公司,2014,0.0
430197,津伦股份,津伦(天津)精密机械股份有限公司,2015,0.0
430197,津伦股份,津伦(天津)精密机械股份有限公司,2016,1.0
