stkcd,stock,name,year,is_crawled
835969,华凌股份,张家口华凌建材股份有限公司,2015,1
831993,欧克精化,河北欧克精细化工股份有限公司,2016,1
832511,科益气体,河南科益气体股份有限公司,2016,1
832132,民正农牧,河南民正农牧股份有限公司,2016,1
831493,赛特传媒,福建赛特传媒股份有限公司,2016,1
832149,利尔达,利尔达科技集团股份有限公司,2016,1
832017,中兴机械,石家庄中兴机械制造股份有限公司,2015,1
830794,奥派股份,南京奥派信息产业股份公司,2015,1
831885,鱼鳞图,四川鱼鳞图信息技术股份有限公司,2016,1
833205,博采网络,杭州博采网络科技股份有限公司,2014,1
831366,国龙医疗,宁夏国龙医疗发展股份有限公司,2015,1
834368,华新能源,西安华新新能源股份有限公司,2015,1
832885,星辰科技,桂林星辰科技股份有限公司,2016,1
831023,北展股份,大连北方国际展览股份有限公司,2015,1
832757,景安网络,郑州市景安网络科技股份有限公司,2015,1
835662,明天种业,江苏明天种业科技股份有限公司,2015,1
836231,新力新材,浙江新力新材料股份有限公司,2015,1
831769,中马园林,浙江中马园林机器股份有限公司,2015,1
830976,电通微电,深圳电通纬创微电子股份有限公司,2015,1
834023,金投金融,四川金投金融电子服务股份有限公司,2015,1
430690,酷买网,酷买网(北京)科技股份有限公司,2015,1
830814,浩博新材,江苏浩博新材料股份有限公司,2016,1
832481,鸿盛科技,张家港鸿盛电子科技股份有限公司,2015,1
832440,九天高科,江苏九天高科技股份有限公司,2014,1
834894,宝亮股份,内蒙古宝亮信息技术股份有限公司,2015,1
832210,科诺铝业,宁波科诺铝业股份有限公司,2016,1
430051,九恒星,北京九恒星科技股份有限公司,2015,1
831776,中云创,河南中云创光电科技股份有限公司,2014,1
833524,光晟电器,广东顺德光晟电器股份有限公司,2015,1
830993,壹玖壹玖,壹玖壹玖酒类平台科技股份有限公司,2015,1
837945,焦点品牌,上海焦点品牌管理股份有限公司,2015,1
430276,晟矽微电,上海晟矽微电子股份有限公司,2014,1
833836,盛祥电子,江西盛祥电子材料股份有限公司,2015,1
833539,大方生态,重庆大方生态环境治理股份有限公司,2015,1
831509,中科英泰,青岛中科英泰商用系统股份有限公司,2014,1
834952,中联环保,北京中电联环保股份有限公司,2015,1
831609,壹加壹,宁夏壹加壹农牧股份有限公司,2016,1
835520,信诺立兴,黄骅市信诺立兴精细化工股份有限公司,2015,1
835481,锦浪科技,锦浪科技,2015,1
836327,西岐网络,厦门西岐网络股份有限公司,2015,1
830984,德邦工程,南京德邦金属装备工程股份有限公司,2015,1
430427,飞田通信,上海飞田通信股份有限公司,2014,1
831065,鑫干线,鑫干线(北京)科技股份公司,2016,1
833409,泉源堂,成都泉源堂大药房连锁股份有限公司,2014,1
832245,慧翰股份,慧翰股份,2015,1
830765,协盛科技,天津协盛科技股份有限公司,2015,1
831593,朗昇电气,哈尔滨朗昇电气股份有限公司,2015,1
831838,福康药业,吉林福康药业股份有限公司,2016,1
832314,四砂泰益,青岛四砂泰益超硬研磨股份有限公司,2015,1
831284,迈科智能,珠海迈科智能科技股份有限公司,2016,1
833554,新翔科技,北京新翔维创科技股份有限公司,2015,1
832558,爽口源,甘肃爽口源生态科技股份有限公司,2014,1
430638,景格科技,上海景格科技股份有限公司,2016,1
831188,正兴玉,雅安正兴汉白玉股份有限公司,2014,1
430695,浩海科技,青岛浩海网络科技股份有限公司,2016,1
430373,捷安高科,郑州捷安高科股份有限公司,2016,1
831139,江西广蓝,江西省广蓝传动科技股份有限公司,2015,1
430725,九五智驾,北京九五智驾信息技术股份有限公司,2016,1
430191,波尔通信,北京波尔通信技术股份有限公司,2015,1
430216,风格信息,上海风格信息技术股份有限公司,2015,1
832189,科瑞达,河北科瑞达仪器科技股份有限公司,2014,1
430141,久日新材,天津久日新材料股份有限公司,2012,1
831767,知音文化,上海知音音乐文化股份有限公司,2015,1
831402,帝联科技,上海帝联信息科技股份有限公司,2016,1
831271,燎原药业,浙江燎原药业股份有限公司,2015,1
835840,明动软件,广州明动软件股份有限公司,2015,1
832174,益立胶囊,浙江益立胶囊股份有限公司,2014,1
831775,巨龙生物,河南巨龙生物工程股份有限公司,2016,1
430184,北方跃龙,北方跃龙科技(北京)股份有限公司,2014,1
836356,易信科技,深圳易信科技股份有限公司,2015,1
430523,泰谷生物,湖南泰谷生物科技股份有限公司,2015,1
838232,加勒股份,镇江加勒智慧电力科技股份有限公司,2015,1
833802,希尔化工,浙江希尔化工股份有限公司,2015,1
430675,天跃科技,上海天跃科技股份有限公司,2014,1
832495,精铟海工,广东精铟海洋工程股份有限公司,2014,1
832208,尔格科技,浙江尔格科技股份有限公司,2015,1
831222,金龙腾,北京市金龙腾装饰股份有限公司,2014,1
833677,芯能科技,浙江芯能光伏科技股份有限公司,2015,1
831517,凯伦建材,凯伦建材,2014,1
833407,亚华智库,深圳亚华智库管理顾问股份有限公司,2014,1
832015,基调网络,北京基调网络股份有限公司,2015,1
834592,一乘股份,云南一乘驾驶培训股份有限公司,2015,1
836498,柏尔智能,深圳市柏尔智能科技股份有限公司,2015,1
836258,高兴新材,山东高兴新材料股份有限公司,2015,1
833856,宝润兴业,北京宝润兴业科技股份有限公司,2015,1
430272,光伏宝,世富光伏宝(上海)环保科技股份有限公司,2015,1
831516,金科环保,湖北金科环保科技股份有限公司,2014,1
833633,联众智慧,联众智慧,2015,1
832022,珈诚生物,宁波珈诚生物科技股份有限公司,2014,1
830781,精鹰传媒,广东精鹰传媒股份有限公司,2016,1
832085,万古科技,北京万古科技股份有限公司,2016,1
831261,天海科技,山东天海科技股份有限公司,2016,1
430208,优炫软件,北京优炫软件股份有限公司,2012,1
830782,泰安众诚,泰安众诚自动化设备股份有限公司,2014,1
838364,点景科技,福建点景科技股份有限公司,2015,1
831718,青鸟软通,山东青鸟软通信息技术股份有限公司,2014,1
831652,康华远景,北京康华远景科技股份有限公司,2014,1
430209,康孚科技,北京康孚科技股份有限公司,2014,1
430633,卡姆医疗,上海卡姆南洋医疗器械股份有限公司,2014,1
831056,千叶药包,贵州千叶药品包装股份有限公司,2013,1
833333,科雷斯普,江苏科雷斯普能源科技股份有限公司,2016,1
832547,利策科技,上海利策科技股份有限公司,2015,1
831212,耐磨科技,云南昆钢耐磨材料科技股份有限公司,2015,1
430367,力码科,北京力码科信息技术股份有限公司,2014,1
430239,信诺达,北京信诺达泰思特科技股份有限公司,2015,1
430352,慧网通达,北京慧网通达科技股份有限公司,2016,1
834233,沙电电气,长沙沙电电气股份有限公司,2015,1
832966,道尔智控,深圳市道尔智控科技股份有限公司,2016,1
832987,牡丹联友,北京牡丹联友环保科技股份有限公司,2016,1
833111,国泰股份,青岛国泰药业股份有限公司,2015,1
430124,汉唐自远,北京汉唐自远技术股份有限公司,2014,1
834658,华天发展,南京华天科技发展股份有限公司,2015,1
832916,京东健康,唐山京东大健康股份有限公司,2015,1
430673,天佑铁道,上海天佑铁道新技术研究所股份有限公司,2016,1
831085,博冠股份,广州博冠光电科技股份有限公司,2016,1
832876,慧为智能,深圳市慧为智能科技股份有限公司,2014,1
832455,传视影视,苏州传视影视传媒股份有限公司,2015,1
430670,东芯通信,合肥东芯通信股份有限公司,2013,1
832357,益通股份,益通天然气股份有限公司,2016,1
835264,康宏股份,浙江康宏物流股份有限公司,2015,1
832698,青雨传媒,东阳青雨传媒股份有限公司,2014,1
831120,达海智能,达海智能,2014,1
831713,天源环保,武汉天源环保股份有限公司,2016,1
832884,瑞晟智能,浙江瑞晟智能科技股份有限公司,2015,1
430206,尚远环保,武汉尚远环保股份有限公司,2014,1
